Training on GPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 5911: Episode: 158, R100:  27.38, MaxR:  128.00, R:  10.00, FPS:  531.8, L100:  0.08, Epsilon:  0.2222
Frame: 5921: Episode: 159, R100:  26.97, MaxR:  128.00, R:  10.00, FPS:  533.3, L100:  0.08, Epsilon:  0.2222
Frame: 5931: Episode: 160, R100:  26.27, MaxR:  128.00, R:  10.00, FPS:  538.6, L100:  0.09, Epsilon:  0.2221
Frame: 5941: Episode: 161, R100:  25.76, MaxR:  128.00, R:  10.00, FPS:  540.5, L100:  0.09, Epsilon:  0.2221
Frame: 5949: Episode: 162, R100:  24.99, MaxR:  128.00, R:  8.00, FPS:  541.3, L100:  0.09, Epsilon:  0.2221
Frame: 5957: Episode: 163, R100:  24.35, MaxR:  128.00, R:  8.00, FPS:  549.6, L100:  0.09, Epsilon:  0.2220
Frame: 5965: Episode: 164, R100:  23.91, MaxR:  128.00, R:  8.00, FPS:  526.8, L100:  0.09, Epsilon:  0.2220
Frame: 5975: Episode: 165, R100:  23.54, MaxR:  128.00, R:  10.00, FPS:  539.7, L100:  0.09, Epsilon:  0.2220
Frame: 5985: Episode: 166, R100:  23.24, MaxR:  128.00, R:  10.00, FPS:  534.1, L100:  0.09, Epsilon:  0.2219
Frame: 5995: Episode: 167, R100:  22.96, MaxR:  128.00, R:  10.00, FPS:  536.5, L100:  0.10, Epsilon:  0.2219
Frame: 6009: Episode: 168, R100:  22.72, MaxR:  128.00, R:  14.00, FPS:  545.7, L100:  0.10, Epsilon:  0.2218
Frame: 6018: Episode: 169, R100:  22.43, MaxR:  128.00, R:  9.00, FPS:  539.4, L100:  0.10, Epsilon:  0.2218
Frame: 6027: Episode: 170, R100:  22.16, MaxR:  128.00, R:  9.00, FPS:  534.2, L100:  0.10, Epsilon:  0.2217
Frame: 6037: Episode: 171, R100:  21.34, MaxR:  128.00, R:  10.00, FPS:  546.8, L100:  0.11, Epsilon:  0.2217
Frame: 6049: Episode: 172, R100:  20.67, MaxR:  128.00, R:  12.00, FPS:  551.0, L100:  0.11, Epsilon:  0.2216
Frame: 6059: Episode: 173, R100:  20.32, MaxR:  128.00, R:  10.00, FPS:  538.6, L100:  0.11, Epsilon:  0.2216
Frame: 6070: Episode: 174, R100:  19.71, MaxR:  128.00, R:  11.00, FPS:  537.8, L100:  0.11, Epsilon:  0.2215
Frame: 6080: Episode: 175, R100:  19.28, MaxR:  128.00, R:  10.00, FPS:  536.7, L100:  0.11, Epsilon:  0.2215
Frame: 6092: Episode: 176, R100:  19.11, MaxR:  128.00, R:  12.00, FPS:  531.1, L100:  0.11, Epsilon:  0.2214
Frame: 6100: Episode: 177, R100:  18.68, MaxR:  128.00, R:  8.00, FPS:  550.8, L100:  0.11, Epsilon:  0.2214
Frame: 6109: Episode: 178, R100:  18.33, MaxR:  128.00, R:  9.00, FPS:  521.9, L100:  0.11, Epsilon:  0.2214
Frame: 6118: Episode: 179, R100:  18.02, MaxR:  128.00, R:  9.00, FPS:  542.7, L100:  0.11, Epsilon:  0.2213
Frame: 6130: Episode: 180, R100:  17.61, MaxR:  128.00, R:  12.00, FPS:  536.2, L100:  0.11, Epsilon:  0.2213
Frame: 6140: Episode: 181, R100:  17.23, MaxR:  128.00, R:  10.00, FPS:  534.9, L100:  0.12, Epsilon:  0.2212
Frame: 6149: Episode: 182, R100:  16.87, MaxR:  128.00, R:  9.00, FPS:  545.4, L100:  0.12, Epsilon:  0.2212
Frame: 6160: Episode: 183, R100:  16.62, MaxR:  128.00, R:  11.00, FPS:  535.4, L100:  0.13, Epsilon:  0.2211
Frame: 6177: Episode: 184, R100:  16.21, MaxR:  128.00, R:  17.00, FPS:  535.6, L100:  0.14, Epsilon:  0.2211
Frame: 6187: Episode: 185, R100:  15.79, MaxR:  128.00, R:  10.00, FPS:  535.4, L100:  0.14, Epsilon:  0.2210
Frame: 6197: Episode: 186, R100:  15.46, MaxR:  128.00, R:  10.00, FPS:  537.2, L100:  0.14, Epsilon:  0.2210
Frame: 6219: Episode: 187, R100:  15.21, MaxR:  128.00, R:  22.00, FPS:  541.0, L100:  0.15, Epsilon:  0.2209
