Training on CPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 6238: Episode: 189, R100:  16.47, MaxR:  119.00, R:  13.00, FPS:  872.7, L100:  0.03, Epsilon:  0.2208
Frame: 6250: Episode: 190, R100:  16.16, MaxR:  119.00, R:  12.00, FPS:  865.1, L100:  0.03, Epsilon:  0.2207
Frame: 6261: Episode: 191, R100:  15.34, MaxR:  119.00, R:  11.00, FPS:  860.4, L100:  0.03, Epsilon:  0.2207
Frame: 6272: Episode: 192, R100:  14.57, MaxR:  119.00, R:  11.00, FPS:  857.5, L100:  0.03, Epsilon:  0.2206
Frame: 6282: Episode: 193, R100:  14.35, MaxR:  119.00, R:  10.00, FPS:  868.8, L100:  0.03, Epsilon:  0.2206
Frame: 6291: Episode: 194, R100:  14.12, MaxR:  119.00, R:  9.00, FPS:  866.2, L100:  0.03, Epsilon:  0.2206
Frame: 6300: Episode: 195, R100:  13.88, MaxR:  119.00, R:  9.00, FPS:  875.8, L100:  0.03, Epsilon:  0.2205
Frame: 6311: Episode: 196, R100:  13.63, MaxR:  119.00, R:  11.00, FPS:  809.2, L100:  0.03, Epsilon:  0.2205
Frame: 6319: Episode: 197, R100:  12.96, MaxR:  119.00, R:  8.00, FPS:  857.1, L100:  0.03, Epsilon:  0.2204
Frame: 6329: Episode: 198, R100:  12.50, MaxR:  119.00, R:  10.00, FPS:  854.7, L100:  0.03, Epsilon:  0.2204
Frame: 6338: Episode: 199, R100:  12.13, MaxR:  119.00, R:  9.00, FPS:  840.9, L100:  0.03, Epsilon:  0.2204
Frame: 6350: Episode: 200, R100:  12.02, MaxR:  119.00, R:  12.00, FPS:  853.8, L100:  0.03, Epsilon:  0.2203
Frame: 6363: Episode: 201, R100:  11.84, MaxR:  119.00, R:  13.00, FPS:  871.1, L100:  0.03, Epsilon:  0.2202
Frame: 6371: Episode: 202, R100:  11.71, MaxR:  119.00, R:  8.00, FPS:  867.2, L100:  0.03, Epsilon:  0.2202
Frame: 6381: Episode: 203, R100:  11.61, MaxR:  119.00, R:  10.00, FPS:  859.3, L100:  0.03, Epsilon:  0.2202
Frame: 6391: Episode: 204, R100:  11.47, MaxR:  119.00, R:  10.00, FPS:  862.2, L100:  0.03, Epsilon:  0.2201
Frame: 6401: Episode: 205, R100:  11.38, MaxR:  119.00, R:  10.00, FPS:  865.3, L100:  0.03, Epsilon:  0.2201
Frame: 6414: Episode: 206, R100:  11.31, MaxR:  119.00, R:  13.00, FPS:  871.7, L100:  0.03, Epsilon:  0.2200
Frame: 6422: Episode: 207, R100:  11.30, MaxR:  119.00, R:  8.00, FPS:  876.9, L100:  0.03, Epsilon:  0.2200
Frame: 6431: Episode: 208, R100:  11.23, MaxR:  119.00, R:  9.00, FPS:  863.4, L100:  0.03, Epsilon:  0.2199
Frame: 6439: Episode: 209, R100:  11.21, MaxR:  119.00, R:  8.00, FPS:  847.6, L100:  0.03, Epsilon:  0.2199
Frame: 6449: Episode: 210, R100:  11.21, MaxR:  119.00, R:  10.00, FPS:  854.3, L100:  0.03, Epsilon:  0.2199
Frame: 6458: Episode: 211, R100:  11.13, MaxR:  119.00, R:  9.00, FPS:  849.8, L100:  0.03, Epsilon:  0.2198
Frame: 6472: Episode: 212, R100:  11.18, MaxR:  119.00, R:  14.00, FPS:  870.8, L100:  0.03, Epsilon:  0.2198
Frame: 6484: Episode: 213, R100:  11.17, MaxR:  119.00, R:  12.00, FPS:  874.3, L100:  0.03, Epsilon:  0.2197
Frame: 6493: Episode: 214, R100:  11.11, MaxR:  119.00, R:  9.00, FPS:  875.8, L100:  0.03, Epsilon:  0.2197
Frame: 6505: Episode: 215, R100:  11.03, MaxR:  119.00, R:  12.00, FPS:  866.4, L100:  0.03, Epsilon:  0.2196
Frame: 6518: Episode: 216, R100:  11.01, MaxR:  119.00, R:  13.00, FPS:  869.7, L100:  0.03, Epsilon:  0.2196
Frame: 6528: Episode: 217, R100:  11.02, MaxR:  119.00, R:  10.00, FPS:  852.2, L100:  0.03, Epsilon:  0.2195
Frame: 6540: Episode: 218, R100:  11.04, MaxR:  119.00, R:  12.00, FPS:  861.6, L100:  0.03, Epsilon:  0.2195
