Training on GPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 10767: Episode: 294, R100:  28.05, MaxR:  106.00, R:  8.00, FPS:  498.0, L100:  0.05, Epsilon:  0.1249
Frame: 10777: Episode: 295, R100:  27.18, MaxR:  106.00, R:  10.00, FPS:  503.6, L100:  0.05, Epsilon:  0.1247
Frame: 10805: Episode: 296, R100:  26.85, MaxR:  106.00, R:  28.00, FPS:  503.0, L100:  0.05, Epsilon:  0.1241
Frame: 10816: Episode: 297, R100:  26.49, MaxR:  106.00, R:  11.00, FPS:  498.4, L100:  0.05, Epsilon:  0.1238
Frame: 10826: Episode: 298, R100:  26.18, MaxR:  106.00, R:  10.00, FPS:  504.3, L100:  0.05, Epsilon:  0.1236
Frame: 10875: Episode: 299, R100:  26.33, MaxR:  106.00, R:  49.00, FPS:  508.9, L100:  0.06, Epsilon:  0.1225
Frame: 10887: Episode: 300, R100:  25.93, MaxR:  106.00, R:  12.00, FPS:  504.7, L100:  0.07, Epsilon:  0.1222
Frame: 10912: Episode: 301, R100:  25.53, MaxR:  106.00, R:  25.00, FPS:  495.5, L100:  0.07, Epsilon:  0.1216
Frame: 10920: Episode: 302, R100:  24.75, MaxR:  106.00, R:  8.00, FPS:  499.6, L100:  0.07, Epsilon:  0.1215
Frame: 10969: Episode: 303, R100:  24.70, MaxR:  106.00, R:  49.00, FPS:  508.3, L100:  0.07, Epsilon:  0.1204
Frame: 11035: Episode: 304, R100:  24.48, MaxR:  106.00, R:  66.00, FPS:  499.3, L100:  0.08, Epsilon:  0.1189
Frame: 11235: Episode: 305, R100:  26.13, MaxR:  200.00, R:  200.00, FPS:  501.9, L100:  0.11, Epsilon:  0.1147
Frame: 11284: Episode: 306, R100:  26.08, MaxR:  200.00, R:  49.00, FPS:  501.7, L100:  0.11, Epsilon:  0.1136
Frame: 11484: Episode: 307, R100:  27.75, MaxR:  200.00, R:  200.00, FPS:  506.0, L100:  0.13, Epsilon:  0.1096
Frame: 11684: Episode: 308, R100:  29.30, MaxR:  200.00, R:  200.00, FPS:  505.5, L100:  0.16, Epsilon:  0.1057
Frame: 11884: Episode: 309, R100:  30.93, MaxR:  200.00, R:  200.00, FPS:  503.4, L100:  0.20, Epsilon:  0.1019
Frame: 12084: Episode: 310, R100:  32.45, MaxR:  200.00, R:  200.00, FPS:  505.4, L100:  0.21, Epsilon:  0.0983
Frame: 12284: Episode: 311, R100:  33.94, MaxR:  200.00, R:  200.00, FPS:  504.4, L100:  0.26, Epsilon:  0.0949
Frame: 12484: Episode: 312, R100:  34.94, MaxR:  200.00, R:  200.00, FPS:  503.4, L100:  0.26, Epsilon:  0.0915
Frame: 12684: Episode: 313, R100:  35.99, MaxR:  200.00, R:  200.00, FPS:  503.6, L100:  0.34, Epsilon:  0.0883
Frame: 12884: Episode: 314, R100:  37.38, MaxR:  200.00, R:  200.00, FPS:  504.7, L100:  0.31, Epsilon:  0.0853
Frame: 13084: Episode: 315, R100:  38.89, MaxR:  200.00, R:  200.00, FPS:  504.4, L100:  0.36, Epsilon:  0.0823
Frame: 13284: Episode: 316, R100:  40.60, MaxR:  200.00, R:  200.00, FPS:  504.3, L100:  0.39, Epsilon:  0.0795
Frame: 13484: Episode: 317, R100:  42.10, MaxR:  200.00, R:  200.00, FPS:  502.8, L100:  0.46, Epsilon:  0.0767
Frame: 13684: Episode: 318, R100:  43.21, MaxR:  200.00, R:  200.00, FPS:  502.9, L100:  0.50, Epsilon:  0.0741
Frame: 13884: Episode: 319, R100:  44.40, MaxR:  200.00, R:  200.00, FPS:  501.9, L100:  0.54, Epsilon:  0.0716
Frame: 14084: Episode: 320, R100:  45.78, MaxR:  200.00, R:  200.00, FPS:  503.6, L100:  0.61, Epsilon:  0.0692
Frame: 14284: Episode: 321, R100:  46.73, MaxR:  200.00, R:  200.00, FPS:  503.5, L100:  0.67, Epsilon:  0.0669
Frame: 14484: Episode: 322, R100:  48.39, MaxR:  200.00, R:  200.00, FPS:  503.1, L100:  0.68, Epsilon:  0.0646
Frame: 14684: Episode: 323, R100:  49.81, MaxR:  200.00, R:  200.00, FPS:  503.5, L100:  0.67, Epsilon:  0.0625
Frame: 14884: Episode: 324, R100:  50.97, MaxR:  200.00, R:  200.00, FPS:  503.7, L100:  0.69, Epsilon:  0.0604
Frame: 15084: Episode: 325, R100:  52.53, MaxR:  200.00, R:  200.00, FPS:  502.3, L100:  0.83, Epsilon:  0.0585
Frame: 15284: Episode: 326, R100:  54.16, MaxR:  200.00, R:  200.00, FPS:  504.6, L100:  0.89, Epsilon:  0.0566
