Training on GPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 8477: Episode: 161, R100:  52.81, MaxR:  203.00, R:  155.00, FPS:  531.8, L100:  0.29, Epsilon:  0.2112
Frame: 8616: Episode: 162, R100:  53.40, MaxR:  203.00, R:  139.00, FPS:  528.7, L100:  0.35, Epsilon:  0.2106
Frame: 8768: Episode: 163, R100:  54.45, MaxR:  203.00, R:  152.00, FPS:  528.7, L100:  0.39, Epsilon:  0.2099
Frame: 8934: Episode: 164, R100:  55.55, MaxR:  203.00, R:  166.00, FPS:  527.5, L100:  0.35, Epsilon:  0.2093
Frame: 9112: Episode: 165, R100:  55.98, MaxR:  203.00, R:  178.00, FPS:  526.4, L100:  0.39, Epsilon:  0.2085
Frame: 9284: Episode: 166, R100:  57.39, MaxR:  203.00, R:  172.00, FPS:  523.9, L100:  0.46, Epsilon:  0.2078
Frame: 9461: Episode: 167, R100:  58.68, MaxR:  203.00, R:  177.00, FPS:  526.7, L100:  0.48, Epsilon:  0.2071
Frame: 9644: Episode: 168, R100:  59.85, MaxR:  203.00, R:  183.00, FPS:  525.2, L100:  0.58, Epsilon:  0.2063
Frame: 9789: Episode: 169, R100:  60.92, MaxR:  203.00, R:  145.00, FPS:  521.2, L100:  0.55, Epsilon:  0.2057
Frame: 9970: Episode: 170, R100:  62.05, MaxR:  203.00, R:  181.00, FPS:  522.9, L100:  0.58, Epsilon:  0.2050
Frame: 10138: Episode: 171, R100:  62.97, MaxR:  203.00, R:  168.00, FPS:  520.6, L100:  0.59, Epsilon:  0.2043
Frame: 10293: Episode: 172, R100:  64.12, MaxR:  203.00, R:  155.00, FPS:  520.4, L100:  0.58, Epsilon:  0.2037
Frame: 10324: Episode: 173, R100:  64.05, MaxR:  203.00, R:  31.00, FPS:  523.2, L100:  0.55, Epsilon:  0.2035
Frame: 10464: Episode: 174, R100:  64.82, MaxR:  203.00, R:  140.00, FPS:  518.3, L100:  0.65, Epsilon:  0.2030
Frame: 10628: Episode: 175, R100:  65.79, MaxR:  203.00, R:  164.00, FPS:  511.1, L100:  0.68, Epsilon:  0.2023
Frame: 10811: Episode: 176, R100:  66.93, MaxR:  203.00, R:  183.00, FPS:  517.9, L100:  0.63, Epsilon:  0.2016
Frame: 10966: Episode: 177, R100:  68.09, MaxR:  203.00, R:  155.00, FPS:  518.9, L100:  0.83, Epsilon:  0.2010
